country,region,tfr,contraception,educationMale,educationFemale,lifeMale,lifeFemale,infantMortality,GDPperCapita,economicActivityMale,economicActivityFemale,illiteracyMale,illiteracyFemale
Afghanistan,Asia,6.9,,,,45,46,154,2848,87.5,7.2,52.8,85
Albania,Europe,2.6,,,,68,74,32,863,,,,
Algeria,Africa,3.81,52,11.1,9.9,67.5,70.3,44,1531,76.4,7.8,26.1,51
American.Samoa,Asia,,,,,68,73,11,,58.8,42.4,0.264,0.36
Andorra,Europe,,,,,,,,,,,,
Angola,Africa,6.69,,,,44.9,48.1,124,355,,,,
Antigua,America,,53,,,,,24,6966,74.4,56.2,,
Argentina,America,2.62,,,,69.6,76.8,22,8055,76.2,41.3,3.8,3.8
Armenia,Europe,1.7,22,,,67.2,74,25,354,65,52,0.3,0.5
Australia,Oceania,1.89,76,16.3,16.1,75.4,81.2,6,20046,74,53.8,,
Austria,Europe,1.42,71,14.4,14.2,73.7,80.1,6,29006,69.5,47.7,,
Azerbaijan,Asia,2.3,17,,,66.5,74.5,33,321,,,0.3,0.5
Bahamas,America,1.95,62,12.1,13.2,70.5,77.1,14,12545,81.2,67,1.5,2
Bahrain,Asia,2.97,53,12.6,13.3,71.1,75.3,18,9073,88.2,29.2,10.9,20.6
Bangladesh,Asia,3.14,49,,,58.1,58.2,78,280,88.8,55.9,50.6,73.9
Barbados,America,1.73,55,,,73.6,78.7,9,7173,73.4,61.4,2,3.2
Belarus,Europe,1.4,50,,,64.4,74.8,15,994,76.4,61.3,0.3,0.6
Belgium,Europe,1.62,79,15.6,15.4,73.9,80.6,7,26582,,,,
Belize,America,3.66,47,10.6,10.4,73.4,76.1,30,2569,79,34,21.252,23.472
Benin,Africa,5.83,16,,,52.4,57.2,84,391,90,57.8,51.3,74.2
Bhutan,Asia,5.89,19,,,51.6,54.9,104,166,,,43.8,71.9
Bolivia,America,4.36,45,,,59.8,63.2,66,909,74.1,56.3,9.5,24
Bosnia,Europe,1.4,,,,70.5,75.9,13,271,,,,
