country,region,lifeMale,lifeFemale,infantMortality,GDPperCapita
Afghanistan,Asia,45,46,154,2848
Albania,Europe,68,74,32,863
Algeria,Africa,67.5,70.3,44,1531
Angola,Africa,44.9,48.1,124,355
Argentina,America,69.6,76.8,22,8055
Armenia,Europe,67.2,74,25,354
Australia,Oceania,75.4,81.2,6,20046
Austria,Europe,73.7,80.1,6,29006
Azerbaijan,Asia,66.5,74.5,33,321
Bahamas,America,70.5,77.1,14,12545
Bahrain,Asia,71.1,75.3,18,9073
Bangladesh,Asia,58.1,58.2,78,280
Barbados,America,73.6,78.7,9,7173
Belarus,Europe,64.4,74.8,15,994
Belgium,Europe,73.9,80.6,7,26582
Belize,America,73.4,76.1,30,2569
Benin,Africa,52.4,57.2,84,391
Bhutan,Asia,51.6,54.9,104,166
Bolivia,America,59.8,63.2,66,909
Bosnia,Europe,70.5,75.9,13,271
Botswana,Africa,48.9,51.7,56,3640
Brazil,America,63.4,71.2,42,4510
Brunei,Asia,73.4,78.1,9,16683
Bulgaria,Europe,67.8,74.9,16,1518
Burkina.Faso,Africa,45.1,47,97,165
Burundi,Africa,45.5,48.8,114,205
Cambodia,Asia,52.6,55.4,102,130
Cameroon,Africa,54.5,57.2,58,627
Canada,America,76.1,81.8,6,18943
Cape.Verde,Africa,65.5,67.5,41,994
Central.African.Rep,Africa,46.4,51,96,379
Chad,Africa,46.3,49.3,115,187
Chile,America,72.3,78.3,13,4736
China,Asia,68.2,71.7,38,582
Colombia,America,68.2,73.7,24,2215
Comoros,Africa,57,58,82,367
Congo,Africa,48.6,53.4,90,1008
Cook.Islands,Oceania,67,73,26,5432
Costa.Rica,America,74.5,79.2,12,2696
Croatia,Europe,68.1,76.5,10,4014
Cuba,America,74.2,78,9,1983
Cyprus,Europe,75.4,79.8,7,11459
Czech.Republic,Europe,69.8,76,9,4450
Dem.Rep.of.the.Congo,Africa,51.3,54.5,89,117
Denmark,Europe,73,78.3,7,33191
Djibouti,Africa,48.7,52,106,893
Dominican.Republic,America,68.9,73.1,34,1508
Ecuador,America,67.3,72.5,46,1565
Egypt,Africa,64.7,67.3,54,973
El.Salvador,America,66.5,72.5,39,1660
Equatorial.Guinea,Africa,48.4,51.6,107,388
Eritrea,Africa,49.1,52.1,98,96
Estonia,Europe,63.9,75,12,2433
Ethiopia,Africa,48.4,51.6,107,96
Fiji,Oceania,70.6,74.9,20,2593
Finland,Europe,73,80.1,5,24453
France,Europe,74.6,82.9,7,26444
French.Polynesia,Oceania,69.8,75.3,10,19766
Gabon,Africa,53.8,57.2,85,5007
Gambia,Africa,45.4,48.7,122,321
Georgia,Asia,68.5,76.7,23,343
Germany,Europe,73.4,79.9,6,29632
Ghana,Africa,56.2,59.9,73,397
Greece,Europe,75.5,80.6,8,8684
Guadeloupe,America,72.1,78.8,8,9145
Guatemala,America,64.7,69.8,40,1392
Guinea,Africa,46,47,124,442
Guinea.Bissau,Africa,42.4,45.2,132,131
Guyana,America,61.1,67.9,58,726
Haiti,America,52.8,56,82,386
Honduras,America,67.5,72.3,35,697
Hong.Kong,Asia,76.1,81.8,5,22898
Hungary,Europe,64.5,73.8,14,4325
Iceland,Europe,77.4,81.2,5,26217
India,Asia,62.1,62.7,72,365
Indonesia,Asia,63.3,67,48,1019
Iran,Asia,68.5,70,39,1544
Iraq,Asia,60.9,63.9,95,11308
Ireland,Europe,74,79.4,6,17419
Israel,Asia,75.7,79.5,7,16738
Italy,Europe,75.1,81.4,7,19121
Ivory.Coast,Africa,50,52.2,86,736
Jamaica,America,72.4,76.8,12,1779
Japan,Asia,76.9,82.9,4,41718
Jordan,Asia,67.7,71.8,30,1228
Kazakhstan,Asia,62.8,72.5,34,995
Kenya,Africa,52.3,55.7,65,330
Kiribati,Oceania,58,63,65,654
Korea.Dem.Peoples.Rep,Asia,68.9,75.1,22,271
Korea.Republic.of,Asia,68.8,76,9,9736
Kuwait,Asia,74.1,78.2,14,15757
Kyrgyzstan,Asia,63.4,71.9,39,331
Laos,Asia,52,55,86,359
Latvia,Europe,62.5,74.3,16,1764
Lebanon,Asia,68.1,71.7,29,3114
Lesotho,Africa,57.3,59.9,72,486
Liberia,Africa,50,53,153,1124
Libya,Africa,63.9,67.5,56,5498
Lithuania,Europe,64.9,76,13,1595
Luxembourg,Europe,73.1,79.7,6,35109
Macedonia,Europe,70.3,74.7,23,1660
Madagascar,Africa,57,60,77,215
Malawi,Africa,40.3,41.1,142,142
Malaysia,Asia,69.9,74.3,11,4313
Maldives,Asia,65.7,63.3,49,1079
Mali,Africa,46.4,49.7,149,223
Malta,Europe,74.6,79.1,8,8793
Marshall.Islands,Oceania,59.1,63,26,1649
Martinique,America,73.7,80.3,7,12717
Mauritania,Africa,51.9,55.1,92,401
Mauritius,Africa,68.3,75,15,3508
Mexico,America,69.5,75.5,31,2700
Micronesia,Oceania,64.4,68.8,20,2104
Moldova,Europe,63.5,71.5,26,383
Mongolia,Asia,64.3,67.3,52,388
Morocco,Africa,64.8,68.5,51,1265
Mozambique,Africa,45.5,48.4,110,77
Myanmar,Asia,58.5,61.8,78,2399
Namibia,Africa,54.7,56.6,60,2059
Nepal,Asia,57.6,57.1,82,203
Netherlands,Europe,75,80.6,6,25635
Netherlands.Antilles,America,73.4,79.3,10,9039
New.Caledonia,Oceania,70.9,75.9,18,19450
New.Zealand,Oceania,74.7,79.7,7,16866
Nicaragua,America,65.8,70.6,44,464
Niger,Africa,46.9,50.2,114,207
Nigeria,Africa,50.8,54,77,587
Norway,Europe,74.8,80.6,5,33734
Oman,Asia,68.9,73.3,25,6232
Pakistan,Asia,62.9,65.1,74,504
Palau,Oceania,65,69,25,6417
Panama,America,71.8,76.4,21,2934
Papua.New.Guinea,Asia,57.2,58.7,61,1083
Paraguay,America,67.5,72,39,1860
Peru,America,65.9,70.9,45,2497
Philippines,Asia,66.6,70.2,35,1093
Poland,Europe,66.7,75.7,13,3058
Portugal,Europe,71.8,78.9,8,10428
Puerto.Rico,America,72.5,80.5,9,12213
Qatar,Asia,70,75.4,17,14013
Reunion,Africa,70.9,79.8,7,11854
Romania,Europe,66,73.2,24,1570
Russia,Europe,58,71.5,19,2451
Rwanda,Africa,40.8,43.4,125,238
Saint.Kitts,America,67.4,70.4,25,4819
Saint.Lucia,America,68,74.8,18,3183
Samoa,Oceania,67.5,71.1,58,1106
Saudi.Arabia,Asia,69.9,73.4,23,6583
Senegal,Africa,50.3,52.3,62,572
Seychelles,Africa,65.3,74.1,12,7272
Sierra.Leone,Africa,36,39.1,169,293
Singapore,Asia,75.1,79.5,5,25581
Slovakia,Europe,67,75.8,12,3266
Slovenia,Europe,69.2,77.8,7,9652
Solomon.Islands,Oceania,69.6,73.9,23,686
Somalia,Africa,47.4,50.6,112,119
South.Africa,Africa,62.3,68.3,48,3230
Spain,Europe,74.5,81.5,7,14111
Sri.Lanka,Asia,70.9,75.4,15,716
Sudan,Africa,53.6,56.4,71,36
Suriname,America,69,74,24,967
Swaziland,Africa,57.7,62.3,65,1389
Sweden,Europe,76.2,80.8,5,26253
Switzerland,Europe,75.3,81.8,5,42416
Syria,Asia,66.7,71.2,33,3573
Tajikistan,Asia,64.2,70.2,56,122
Tanzania,Africa,50,52.8,80,139
Thailand,Asia,66.3,72.3,30,2896
Togo,Africa,48.8,51.5,86,322
Tonga,Oceania,67,71,3,1787
Trinidad.and.Tobago,America,71.5,76.2,14,4083
Tunisia,Africa,68.4,70.7,37,2030
Turkey,Asia,66.5,71.7,44,2814
Turkmenistan,Asia,61.2,68,57,321
Uganda,Africa,40.4,42.3,113,305
Ukraine,Europe,63.6,74,18,694
United.Arab.Emirates,Asia,73.9,76.5,15,17690
United.Kingdom,Europe,74.5,79.8,6,18913
United.States,America,73.4,80.1,7,26037
Uruguay,America,69.6,76.1,17,5602
Uzbekistan,Asia,64.3,70.7,43,435
Vanuatu,Oceania,65.5,69.5,38,1289
Venezuela,America,70,75.7,21,3496
Viet.Nam,Asia,64.9,69.6,37,270
Yemen,Asia,57.4,58.4,80,732
Yugoslavia,Europe,69.8,75.3,19,1487
Zambia,Africa,42.2,43.7,103,382
Zimbabwe,Africa,47.6,49.4,68,786
