ID,country,infant_mortality,gdpcap,literacy
1,Afghanistan                        ,163.07,700,0.36
2,Albania                            ,21.52,4500,0.87
3,Algeria                            ,31,6000,0.7
4,American Samoa                     ,9.27,8000,0.97
5,Andorra                            ,4.05,19000,1
6,Angola                             ,191.19,1900,0.42
7,Anguilla                           ,21.03,8600,0.95
8,Antigua and Barbuda                ,19.46,11000,0.89
9,Argentina                          ,15.18,11200,0.97
10,Armenia                            ,23.28,3500,0.99
11,Aruba                              ,5.89,28000,0.97
12,Australia                          ,4.69,29000,1
13,Austria                            ,4.66,30000,0.98
14,Azerbaijan                         ,81.74,3400,0.97
15,Bahamas,25.21,16700,0.96
16,Bahrain                            ,17.27,16900,0.89
17,Bangladesh                         ,62.6,1900,0.43
18,Barbados                           ,12.5,15700,0.97
19,Belarus                            ,13.37,6100,1
20,Belgium                            ,4.68,29100,0.98
21,Belize                             ,25.69,4900,0.94
22,Benin                              ,85,1100,0.41
23,Bermuda                            ,8.53,36000,0.98
24,Bhutan                             ,100.44,1300,0.42
25,Bolivia                            ,53.11,2400,0.87
26,Botswana                           ,54.58,9000,0.8
27,Brazil                             ,29.61,7600,0.86
28,British Virgin Islands,18.05,16000,0.98
29,Brunei                             ,12.61,18600,0.94
30,Bulgaria                           ,20.55,7600,0.99
31,Burkina Faso                       ,97.57,1100,0.27
32,Burma,67.24,1800,0.85
33,Burundi                            ,69.29,600,0.52
34,Cambodia                           ,71.48,1900,0.69
35,Cameroon                           ,68.26,1800,0.79
36,Canada                             ,4.75,29800,0.97
37,Cape Verde                         ,47.77,1400,0.77
38,Cayman Islands                     ,8.19,35000,0.98
39,Central African Republic           ,91,1100,0.51
40,Chad                               ,93.82,1200,0.48
41,Chile                              ,8.8,9900,0.96
42,China                              ,24.18,5000,0.91
43,Colombia                           ,20.97,6300,0.93
44,Comoros                            ,74.93,700,0.57
45,Congo (Brazzaville)                ,93.86,700,0.84
46,Congo (Kinshasa)                   ,94.69,700,0.66
47,Costa Rica                         ,9.95,9100,0.96
48,Cote d'Ivoire                      ,90.83,1400,0.51
49,Croatia                            ,6.84,10600,0.99
50,Cuba                               ,6.33,2900,0.97
51,Cyprus                             ,7.18,19200,0.98
52,Czech Republic                     ,3.93,15700,1
53,Denmark                            ,4.56,31100,1
54,Djibouti                           ,104.13,1300,0.68
55,Dominica                           ,14.15,5400,0.94
56,Dominican Republic                 ,32.38,6000,0.85
57,East Timor                         ,47.41,500,0.59
58,Ecuador                            ,23.66,3300,0.93
59,Egypt                              ,32.59,4000,0.58
60,El Salvador                        ,25.1,4800,0.8
61,Equatorial Guinea                  ,85.13,2700,0.86
62,Eritrea                            ,74.87,700,0.59
63,Estonia                            ,7.87,12300,1
64,Ethiopia                           ,95.32,700,0.43
65,Fiji                               ,12.62,5800,0.94
66,Finland                            ,3.57,27400,1
67,France                             ,4.26,27600,0.99
68,French Guiana                      ,12.07,8300,0.83
69,French Polynesia                   ,8.44,17500,0.98
70,Gabon                              ,53.64,5500,0.63
71,Gambia,72.02,1700,0.4
72,Georgia                            ,18.59,2500,0.99
73,Germany                            ,4.16,27600,0.99
74,Ghana                              ,51.43,2200,0.75
75,Gibraltar                          ,5.13,17500,0.8
76,Greece                             ,5.53,20000,0.98
77,Grenada                            ,14.62,5000,0.98
78,Guadeloupe                         ,8.6,8000,0.9
79,Guam                               ,6.94,21000,0.99
80,Guatemala                          ,35.93,4100,0.71
81,Guernsey                           ,4.71,20000,1
82,Guinea                             ,90.37,2100,0.36
83,Guinea-Bissau                      ,107.17,800,0.42
84,Guyana                             ,33.26,4000,0.99
85,Haiti                              ,73.45,1600,0.53
86,Honduras                           ,29.32,2600,0.76
87,Hong Kong S.A.R.                   ,2.97,28800,0.94
88,Hungary                            ,8.57,13900,0.99
89,Iceland                            ,3.31,30900,1
90,India                              ,56.29,2900,0.6
91,Indonesia                          ,35.6,3200,0.88
92,Iran                               ,41.58,7000,0.79
