"Interest.Rate","FICO.Score","Loan.Length","Monthly.Income","Loan.Amount"
"6",15.31,670,36,4891.67,6000
"11",19.72,670,36,3575,2000
"12",14.27,665,36,4250,10625
"13",21.67,670,60,14166.67,28000
"21",21.98,665,36,6666.67,22000
"23",17.99,665,60,4100,6500
"25",16.82,670,60,4500,4000
"40",12.49,660,36,3448.33,2400
"41",17.27,670,36,2500,3200
"43",19.13,660,36,12000,5500
"44",21.74,660,36,3700,15650
"48",23.91,670,60,11250,20000
"52",17.44,660,36,7952,3000
"54",21.49,665,60,4166.67,22250
"57",12.98,670,36,1100,2500
"64",15.8,665,36,3250,9000
"74",17.27,665,36,4583.33,12000
"75",15.31,670,36,3833.33,6000
"76",13.12,670,36,5000,6725
"79",17.77,665,36,2500,10000
"91",16.29,665,36,2000,7925
"93",15.81,670,36,2666.67,9525
"99",19.72,665,36,4166.67,10375
"100",18.75,670,36,5833.33,4800
"114",13.99,660,36,5000,5750
"132",16.32,665,36,4600,7500
"136",16.4,660,36,4166.67,7500
"142",23.28,660,60,7083.33,18000
"147",17.27,660,36,3833.33,3000
"151",21.49,670,36,12500,30000
"159",18.25,660,36,5000,15000
"160",17.77,665,36,3333.33,7000
"163",14.33,665,36,5000,15000
"170",15.23,665,36,4583.33,6000
"185",19.05,670,36,2916.67,4375
"189",18.49,660,36,2000,7000
"194",19.47,665,36,5000,7000
"200",14.09,670,36,2666.67,6000
"201",15.8,665,36,3750,5000
"215",17.77,665,36,2000,8325
"223",22.47,665,36,1333.33,4750
"225",18.67,660,60,1750,5500
"229",24.89,665,60,4000,18000
"231",15.31,670,36,2530,2500
"232",19.91,660,60,5500,7200
"233",14.33,670,36,3941.58,8000
"234",20.77,665,60,6000,25000
"235",14.09,665,36,2666.67,2500
"255",16.89,670,36,2880,7550
"257",14.09,670,36,5083.33,6000
"259",14.59,665,36,5000,3000
"260",16.29,665,36,3750,8000
"273",17.27,665,36,4025.67,6000
"274",15.27,670,36,4480,10000
"275",17.49,665,36,2917,3200
"277",11.54,670,36,3416.67,5000
"281",15.8,665,36,2166.67,1200
"285",16.29,670,36,5250,18000
"292",15.8,670,36,5000,6000
"295",14.12,655,36,3750,3500
"300",12.92,665,36,3333,5000
"301",18.67,660,60,2500,8000
"315",17.77,665,36,3083.33,12000
"317",20.49,660,36,6000,31075
"323",19.72,665,36,7965,20000
"324",15.96,665,36,4416.67,10000
"325",20.49,660,36,3033.33,9750
"329",14.22,670,36,8583,5000
"331",15.31,670,36,2916.67,8325
"340",22.47,660,60,4583.33,18000
"356",14.65,670,36,3250,2225
"366",19.05,660,36,5000,14000
"372",17.77,660,36,2708.33,10850
"376",22.95,665,36,884.9,1000
"391",15.31,665,36,2302,8875
"394",18.75,670,36,4500,21250
"396",14.33,670,36,3333.33,12000
"407",22.47,670,60,5083.33,22000
"413",15.8,665,36,6612,5000
"427",13.11,670,36,4166.67,6000
"443",19.05,660,36,3333.33,8000
"452",21,670,36,8333.33,25000
"458",15.31,665,36,2166.67,1000
"462",13.11,670,36,1833.33,1000
"466",19.05,660,36,4583.33,12000
"473",22.95,670,60,20833.33,21000
"478",23.28,660,60,4333.33,20500
"479",18.25,665,36,6250,10000
"485",14.09,665,36,3833.33,5600
"487",19.72,665,60,4750,25450
"496",15.31,670,36,7500,6000
"499",15.31,670,36,5000,5775
"501",17.27,670,36,2833.33,8000
"510",13.16,670,36,3500,1000
"525",14.84,670,36,2500,4800
"526",15.96,665,36,5583.33,6000
"528",15.31,670,36,6416.67,1800
"531",11.14,670,36,6833.33,15300
"533",17.77,665,36,4583.33,10500
"534",17.77,660,36,10268.25,6625
"535",22.47,665,60,4791.67,16000
"539",13.06,670,36,7083.33,1500
"544",17.77,670,36,2083.33,8000
"551",21,670,36,7702,35000
"555",19.05,660,36,7500,5500
"557",14.09,670,36,10625,5000
"562",22.47,665,60,5000,25000
"565",17.27,670,36,5833.33,8000
"570",18.49,670,36,3166.67,7625
"582",15.31,665,36,7083.33,5000
"584",16.77,660,36,3750,8000
"595",15.96,660,36,3264,6000
"601",15.23,670,36,2916.67,4000
"603",15.31,665,36,2500,10000
"631",12.42,670,36,2500,6000
