"Amount.Requested","Amount.Funded.By.Investors","Interest.Rate","Loan.Length","Loan.Purpose","Debt.To.Income.Ratio","State","Home.Ownership","Monthly.Income","FICO.Range","Open.CREDIT.Lines","Revolving.CREDIT.Balance","Inquiries.in.the.Last.6.Months","Employment.Length"
"81174",20000,20000,"8.90%","36 months","debt_consolidation","14.90%","SC","MORTGAGE",6541.67,"735-739",14,14272,2,"< 1 year"
"99592",19200,19200,"12.12%","36 months","debt_consolidation","28.36%","TX","MORTGAGE",4583.33,"715-719",12,11140,1,"2 years"
"80059",35000,35000,"21.98%","60 months","debt_consolidation","23.81%","CA","MORTGAGE",11500,"690-694",14,21977,1,"2 years"
"15825",10000,9975,"9.99%","36 months","debt_consolidation","14.30%","KS","MORTGAGE",3833.33,"695-699",10,9346,0,"5 years"
"33182",12000,12000,"11.71%","36 months","credit_card","18.78%","NJ","RENT",3195,"695-699",11,14469,0,"9 years"
"62403",6000,6000,"15.31%","36 months","other","20.05%","CT","OWN",4891.67,"670-674",17,10391,2,"3 years"
"48808",10000,10000,"7.90%","36 months","debt_consolidation","26.09%","MA","RENT",2916.67,"720-724",10,15957,0,"10+ years"
"22090",33500,33450,"17.14%","60 months","credit_card","14.70%","LA","MORTGAGE",13863.42,"705-709",12,27874,0,"10+ years"
"76404",14675,14675,"14.33%","36 months","credit_card","26.92%","CA","RENT",3150,"685-689",9,7246,1,"8 years"
"15867",7000,7000,"6.91%","36 months","credit_card","7.10%","CA","RENT",5000,"715-719",8,7612,0,"3 years"
"94971",2000,2000,"19.72%","36 months","moving","10.29%","FL","RENT",3575,"670-674",10,12036,0,"6 years"
"36911",10625,10625,"14.27%","36 months","debt_consolidation","12.54%","CA","MORTGAGE",4250,"665-669",14,10767,0,"< 1 year"
"41200",28000,27975,"21.67%","60 months","debt_consolidation","13.07%","CT","MORTGAGE",14166.67,"670-674",12,10311,0,"1 year"
"83869",35000,34950,"8.90%","36 months","debt_consolidation","20.46%","CT","RENT",9166.67,"735-739",19,21536,0,"1 year"
"53853",9600,9600,"7.62%","36 months","debt_consolidation","3.45%","DC","RENT",11250,"725-729",13,4606,0,"< 1 year"
"21399",25000,24975,"15.65%","60 months","debt_consolidation","21.99%","CA","RENT",5416.67,"730-734",6,13929,0,"9 years"
"62127",10000,10000,"12.12%","36 months","debt_consolidation","17.72%","CA","RENT",9000,"695-699",18,20317,0,"7 years"
"23446",14000,13900.25,"10.37%","60 months","debt_consolidation","11.95%","OH","RENT",4333.33,"740-744",6,7419,0,"9 years"
"44987",10000,10000,"9.76%","36 months","credit_card","7.13%","FL","RENT",2733.33,"730-734",7,6112,2,"3 years"
"17977",5200,5175,"9.99%","60 months","debt_consolidation","10.29%","AL","MORTGAGE",3750,"760-764",10,16094,0,"< 1 year"
"86099",22000,21975,"21.98%","36 months","debt_consolidation","11.19%","TX","MORTGAGE",6666.67,"665-669",9,23124,0,"10+ years"
"99483",30000,30000,"19.05%","60 months","credit_card","21.25%","FL","MORTGAGE",6250,"695-699",12,34927,0,"6 years"
"28798",6500,6500,"17.99%","60 months","car","19.63%","FL","RENT",4100,"665-669",11,11697,1,"2 years"
"24168",17400,17400,"11.99%","36 months","credit_card","12.47%","AZ","RENT",6833.33,"695-699",7,26587,0,"7 years"
"10356",4000,4000,"16.82%","60 months","vacation","13.71%","GA","MORTGAGE",4500,"670-674",5,20804,0,"3 years"
"46027",7200,7200,"7.90%","36 months","debt_consolidation","24.82%","TX","RENT",5416.67,"705-709",8,12017,0,"7 years"
"2238",8000,8000,"14.42%","36 months","debt_consolidation","24.63%","MA","RENT",2964.17,"675-679",9,8928,2,"6 years"
"65278",8000,8000,"15.31%","36 months","debt_consolidation","15.46%","CA","MORTGAGE",2916.67,"675-679",13,7152,1,"5 years"
