"","tAccMean","tAccStd","tJerkMean","tJerkSD","tGyroMean","tGyroSD","tGyroJerkMean","tGyroJerkMagSD","fAccMean","fAccSD","fAccMeanFreq","fJerkMean","fJerkSD","fJerkMeanFreq","fGyroMean","fGyroSD","fGyroMeanFreq","fGyroJerkMean","fGyroJerkSD","fGyroJerkMeanFreq","fAccSkewness","fJerkSkewness","fGyroSkewness","fGyroJerkSkewness","fAccKurtosis","fJerkKurtosis","fGyroKurtosis","fGyroJerkKurtosis","angleAccGravity","angleJerkGravity","angleGyroGravity","angleGyroJerkGravity","angleXGravity","angleYGravity","angleZGravity","subject","activity"
"5868",-0.94967168,-0.93914199,-0.9836088,-0.99016958,-0.96624828,-0.97324681,-0.99139011,-0.99300919,-0.96207211,-0.93673761,-0.12129845,0.72512512,0.63971203,-0.99007037,-0.98871535,0.37277011,-0.53939685,-0.86064609,-0.97652627,-0.97530705,0.025729023,-0.36076823,-0.76026541,-0.99204844,-0.9946655,0.46919013,-0.80795463,-0.9395601,-0.051192949,0.10263202,0.066182641,0.94435774,-0.83864183,0.20905416,0.0053014709,27,"standing"
"5869",-0.98840847,-0.98783811,-0.98783054,-0.99391526,-0.97286922,-0.98668256,-0.99176835,-0.99344744,-0.98499655,-0.99101044,0.34874894,-0.75246996,-0.91967256,-0.99332649,-0.993494,0.22162289,-0.42631177,-0.76169685,-0.98982759,-0.98659134,-0.12815551,-0.04644445,-0.3497171,-0.9927262,-0.99472936,0.27005638,-0.58651449,-0.84467457,0.099949146,-0.033374801,0.62990912,0.40982028,-0.83025019,0.2154565,0.014507004,27,"standing"
"5870",-0.99112957,-0.98940319,-0.9870255,-0.9887048,-0.97204407,-0.98553829,-0.99125118,-0.99257025,-0.98720324,-0.9918262,0.43266769,-0.60959607,-0.82849651,-0.98804635,-0.98826926,0.25305208,-0.6513267,-0.91427445,-0.98802052,-0.9860532,-0.070353097,-0.17223681,-0.44852011,-0.99196688,-0.99351489,0.2437232,-0.48002703,-0.81897342,-0.10854247,0.22164818,0.78452317,-0.28180862,-0.8291939,0.21616767,0.013869665,27,"standing"
"5871",-0.98595039,-0.9857335,-0.98559173,-0.98814204,-0.97904632,-0.97972074,-0.99139504,-0.99320124,-0.98500482,-0.98741239,0.36050367,-0.35919746,-0.63052536,-0.98731373,-0.98802066,0.29491854,-0.49697176,-0.84318579,-0.98484121,-0.97958823,-0.19994679,-0.1707964,-0.5262944,-0.99264616,-0.9941102,0.2941185,-0.48012338,-0.75317386,0.033208925,0.39162194,0.87814524,-0.9522044,-0.82729636,0.2174382,0.012735368,27,"standing"
"5872",-0.98839084,-0.98800237,-0.98972829,-0.99473199,-0.98761956,-0.98775089,-0.99312934,-0.99524544,-0.98843564,-0.98850711,0.26444015,-0.36800758,-0.65515745,-0.99414506,-0.99437258,0.48130503,-0.62912655,-0.88359481,-0.98907041,-0.98869134,-0.0077454405,-0.50373265,-0.81438315,-0.99468966,-0.99615253,0.3942162,-0.72177208,-0.9217317,-0.013610501,-0.50115259,0.86090547,-0.18250151,-0.82769684,0.2170228,0.0099892614,27,"standing"
"5873",-0.99433305,-0.99570963,-0.994154,-0.99687972,-0.98977292,-0.98772781,-0.99438022,-0.99551088,-0.99515777,-0.99596364,0.50188103,-0.77140199,-0.95113824,-0.99641444,-0.99630484,0.45724462,-0.7200977,-0.94271285,-0.98980912,-0.98813807,-0.074001747,-0.37872243,-0.70064854,-0.99513061,-0.99607997,0.33756562,-0.58919354,-0.82832772,0.02754708,-0.27779373,0.30025858,-0.73766199,-0.82862316,0.2160767,0.0060342357,27,"standing"
"5874",-0.99655494,-0.996871,-0.99474857,-0.99657551,-0.99243627,-0.98934403,-0.99701945,-0.99707386,-0.99627913,-0.99705389,0.62356696,-0.6304951,-0.83367241,-0.99621071,-0.99586612,0.49122152,-0.65042615,-0.92272415,-0.99240182,-0.98887785,-0.26508765,-0.38199057,-0.75161175,-0.99734055,-0.99648187,0.30096824,-0.36283412,-0.71569368,0.077799094,0.74957954,-0.12575315,-0.4855535,-0.82834948,0.21627632,0.0061411159,27,"standing"
"5875",-0.99547457,-0.99409614,-0.9920927,-0.99570478,-0.99206586,-0.98711301,-0.9959706,-0.99262988,-0.99385588,-0.99428023,0.48169693,-0.41110307,-0.67549105,-0.99530065,-0.99493782,0.49648339,-0.64905655,-0.90981383,-0.98860618,-0.98803852,-0.085453343,-0.58135928,-0.83689873,-0.99245195,-0.99298199,0.13928224,-0.46366527,-0.81261654,0.059682482,0.30156103,-0.086613572,0.40092113,-0.82834693,0.21645786,0.0082975551,27,"standing"
"5876",-0.99406233,-0.99229514,-0.99144091,-0.993568,-0.99242927,-0.98938706,-0.99536667,-0.99258168,-0.9913761,-0.99326451,0.37265817,-0.63421458,-0.85684018,-0.9921832,-0.9936379,0.97582069,-0.67094683,-0.93039941,-0.98890677,-0.99152452,0.085846844,-0.8511803,-0.97761455,-0.99224197,-0.99312943,0.20000019,-0.50658082,-0.8263451,0.0017873616,-0.27743343,0.14202245,0.25073931,-0.82783394,0.21693924,0.010175119,27,"standing"
"5877",-0.99568263,-0.9933094,-0.99361022,-0.99337147,-0.99084902,-0.98844118,-0.99537668,-0.99528811,-0.99187438,-0.99462908,0.41547204,-0.76034302,-0.90520389,-0.99262603,-0.99249024,0.81516591,-0.68187565,-0.93610473,-0.99064664,-0.98864805,0.018417151,-0.11650385,-0.45179045,-0.995366,-0.99510391,-0.01259968,-0.51992567,-0.81524171,-0.023642659,0.16420005,0.12364713,0.16392184,-0.82707206,0.21749142,0.010611828,27,"standing"
"5878",-0.9881048,-0.98509237,-0.99104254,-0.99157046,-0.98265908,-0.98153719,-0.99315144,-0.9942666,-0.98826035,-0.98435871,0.064455738,-0.059574341,-0.34629887,-0.99212116,-0.98922137,0.12584943,-0.34247131,-0.71798829,-0.98442771,-0.98245097,-0.088535325,-0.30697342,-0.65078971,-0.99405339,-0.994613,0.23607875,-0.54184995,-0.79138244,0.084970994,0.12617068,0.24593853,-0.77896567,-0.82850225,0.21643986,0.0095793917,27,"standing"
