"","tAccMean","tAccStd","tJerkMean","tJerkSD","tGyroMean","tGyroSD","tGyroJerkMean","tGyroJerkMagSD","fAccMean","fAccSD","fAccMeanFreq","fJerkMean","fJerkSD","fJerkMeanFreq","fGyroMean","fGyroSD","fGyroMeanFreq","fGyroJerkMean","fGyroJerkSD","fGyroJerkMeanFreq","fAccSkewness","fJerkSkewness","fGyroSkewness","fGyroJerkSkewness","fAccKurtosis","fJerkKurtosis","fGyroKurtosis","fGyroJerkKurtosis","angleAccGravity","angleJerkGravity","angleGyroGravity","angleGyroJerkGravity","angleXGravity","angleYGravity","angleZGravity","subject","activity"
"1",-0.95943388,-0.9505515,-0.99330586,-0.99433641,-0.96895908,-0.96433518,-0.99424782,-0.99136761,-0.95215466,-0.95613397,-0.08843612,-0.43647104,-0.79684048,-0.99372565,-0.99375495,0.34698853,-0.51608015,-0.80276003,-0.98013485,-0.96130944,-0.1289889,0.58615643,0.37460462,-0.99199044,-0.99069746,-0.074323027,-0.29867637,-0.71030407,-0.11275434,0.030400372,-0.46476139,-0.018445884,-0.84124676,0.17994061,-0.058626924,1,"standing"
"2",-0.97928915,-0.97605707,-0.99125349,-0.99169441,-0.98068314,-0.98375419,-0.9951232,-0.99610164,-0.98085662,-0.97586576,-0.044149887,-0.12204037,-0.44952188,-0.99033549,-0.99196029,0.53206052,-0.62487099,-0.90015998,-0.98829555,-0.98332192,-0.27195846,-0.33631041,-0.72001508,-0.99585386,-0.99639947,0.15807454,-0.59505094,-0.86149931,0.053476955,-0.0074345661,-0.73262621,0.70351059,-0.8447876,0.18028889,-0.054316717,1,"standing"
"3",-0.98370313,-0.98801962,-0.98853127,-0.9903969,-0.97631707,-0.98605146,-0.99340322,-0.99509104,-0.98779477,-0.98901548,0.25789914,-0.61872514,-0.87968464,-0.98928007,-0.99086668,0.66079504,-0.72469672,-0.92853938,-0.98925477,-0.98602772,-0.2127279,-0.53535208,-0.87191414,-0.9950305,-0.99512739,0.41450281,-0.39074815,-0.76010372,-0.11855926,0.17789948,0.10069921,0.80852908,-0.84893347,0.18063731,-0.049117815,1,"standing"
"4",-0.98654176,-0.98642135,-0.99307804,-0.9933808,-0.98205988,-0.98735112,-0.99550216,-0.9952666,-0.98751866,-0.98674196,0.073581496,-0.46842226,-0.75649363,-0.99276892,-0.99169983,0.67892134,-0.70113068,-0.90963908,-0.9894128,-0.98783575,-0.035684195,-0.2300909,-0.51121695,-0.99522071,-0.99523693,0.40457253,-0.1172902,-0.48284451,-0.036787973,-0.012892494,0.64001104,-0.48536645,-0.84864938,0.18193476,-0.047663183,1,"standing"
"5",-0.99282715,-0.99127536,-0.99348,-0.99585371,-0.98520373,-0.98906257,-0.99580756,-0.99525804,-0.99359085,-0.99006346,0.39431033,-0.11266294,-0.4818052,-0.99552281,-0.99438901,0.55905766,-0.52890134,-0.85893252,-0.99143303,-0.98905935,-0.27358201,-0.51028185,-0.83070177,-0.99509278,-0.99546483,0.087753013,-0.35147093,-0.69920515,0.12332005,0.12254196,0.69357829,-0.61597061,-0.84786525,0.18515116,-0.043892254,1,"standing"
"6",-0.99429499,-0.99524897,-0.9930177,-0.99542431,-0.9858944,-0.98644027,-0.99527476,-0.99520498,-0.99483599,-0.9952833,0.43796212,-0.5946439,-0.80918636,-0.99473292,-0.99515619,0.24690957,-0.52087925,-0.80252544,-0.99050002,-0.98586094,-0.29732906,-0.34604454,-0.72727049,-0.99514331,-0.9952387,0.01995331,-0.54541011,-0.8446193,0.082632155,-0.14343901,0.27504075,-0.36822404,-0.84963158,0.18482251,-0.042126383,1,"standing"
"7",-0.9874657,-0.98274603,-0.9913143,-0.98944783,-0.98550069,-0.98462525,-0.99371877,-0.9952695,-0.98213471,-0.98477295,0.21996177,-0.47276567,-0.78376997,-0.9878858,-0.99054611,0.29017664,-0.66883517,-0.93344267,-0.9882692,-0.98456854,-0.25703213,-0.32159084,-0.65843521,-0.99564148,-0.99463909,0.14584351,-0.21719818,-0.56443048,-0.21275406,-0.23062193,0.01463669,-0.18951153,-0.85215025,0.18216997,-0.043009987,1,"standing"
"8",-0.97745766,-0.97599674,-0.99085085,-0.99038832,-0.98450563,-0.98683834,-0.99429068,-0.9952107,-0.98218413,-0.9751195,-0.10976272,0.080451123,-0.18372772,-0.98985144,-0.98979026,0.24979894,-0.65550271,-0.93256307,-0.98943061,-0.98706484,-0.19727152,-0.4072843,-0.73331337,-0.99562912,-0.99450684,0.13638192,-0.082306972,-0.42171544,-0.020888015,0.59399581,-0.56187067,0.46738333,-0.85101671,0.18377851,-0.041975833,1,"standing"
"9",-0.98363087,-0.97751373,-0.99332542,-0.99288747,-0.98936978,-0.99091446,-0.99584954,-0.9955883,-0.9831308,-0.9766829,0.083767043,0.0375098,-0.2947921,-0.99207263,-0.99289011,0.27234235,-0.75048514,-0.92947437,-0.99162928,-0.99175866,0.073417207,-0.3713888,-0.67476974,-0.99526037,-0.99600721,0.31403783,-0.26940126,-0.57299535,0.012954021,0.080936389,-0.23431263,0.11779701,-0.84797148,0.18898248,-0.037363927,1,"standing"
"10",-0.98677197,-0.98670243,-0.98538815,-0.98364308,-0.98452436,-0.98026379,-0.98979927,-0.9907352,-0.98499403,-0.98902313,0.42582119,-0.47776668,-0.76929939,-0.98231683,-0.98405698,0.25088355,-0.51011582,-0.80191873,-0.98478793,-0.98038779,-0.13996636,0.10678504,-0.13136029,-0.99098121,-0.99059941,0.2673825,0.33952607,0.14045152,-0.020589646,-0.12773018,-0.48287054,-0.070670135,-0.84829438,0.19031033,-0.034417291,1,"standing"
