"","tAccMean","tAccStd","tJerkMean","tJerkSD","tGyroMean","tGyroSD","tGyroJerkMean","tGyroJerkMagSD","fAccMean","fAccSD","fAccMeanFreq","fJerkMean","fJerkSD","fJerkMeanFreq","fGyroMean","fGyroSD","fGyroMeanFreq","fGyroJerkMean","fGyroJerkSD","fGyroJerkMeanFreq","fAccSkewness","fJerkSkewness","fGyroSkewness","fGyroJerkSkewness","fAccKurtosis","fJerkKurtosis","fGyroKurtosis","fGyroJerkKurtosis","angleAccGravity","angleJerkGravity","angleGyroGravity","angleGyroJerkGravity","angleXGravity","angleYGravity","angleZGravity","subject","activity"
"3966",-0.7828077,-0.74626743,-0.83600981,-0.67078779,-0.70617128,-0.69089962,-0.80596969,-0.77816181,-0.70537845,-0.81147554,0.14061904,-0.40280077,-0.63727841,-0.66864097,-0.67469218,-0.30347742,-0.11107977,-0.49359314,-0.69795296,-0.73953388,0.17073822,-0.41474849,-0.73562451,-0.77792594,-0.7938016,0.15430792,-0.062153824,-0.44042702,-0.015173428,-0.2891052,-0.58834916,0.051690448,-0.65810681,0.30664791,0.13013893,21,"standing"
"3967",-0.88689675,-0.85064495,-0.96228987,-0.93767448,-0.86598733,-0.75707477,-0.93877337,-0.88045977,-0.88730684,-0.85513693,-0.23520298,0.051261392,-0.35520776,-0.94712542,-0.92531178,-0.20424996,0.45823507,0.16033855,-0.81075217,-0.76433545,-0.20368664,0.22894299,-0.025291838,-0.89695065,-0.86882179,0.10932957,0.58644851,0.38401354,-0.45722817,0.28472368,-0.52561129,0.83428706,-0.63111275,0.31077664,0.15974302,21,"standing"
"3968",-0.90074718,-0.87274726,-0.96471871,-0.94136936,-0.87737837,-0.83647707,-0.96479144,-0.95613174,-0.90704637,-0.87508265,-0.45958113,0.02162978,-0.28115243,-0.94157984,-0.93968019,-0.23827714,-0.15605343,-0.48393134,-0.89682612,-0.82983317,-0.35139785,0.31690205,0.0056794084,-0.95945507,-0.9545792,-0.17741248,0.20627156,-0.086437991,0.16668094,0.057763856,0.62887058,-0.73436661,-0.63252105,0.30559366,0.1659042,21,"standing"
"3969",-0.88332119,-0.85803314,-0.93014482,-0.91314529,-0.83920781,-0.82115668,-0.94593745,-0.9572875,-0.88646973,-0.86485143,-0.33492837,0.0055671134,-0.28933164,-0.90450506,-0.92504584,0.25645696,-0.29293434,-0.62259979,-0.88382221,-0.81534793,-0.6232591,-0.21868118,-0.63926642,-0.95834576,-0.95847132,-0.091558158,-0.14766993,-0.53097705,0.075159541,0.18432456,-0.017362843,-0.9371701,-0.64108769,0.30413298,0.15756878,21,"standing"
"3970",-0.93783388,-0.89459951,-0.95297955,-0.91533336,-0.91561729,-0.83752678,-0.96767125,-0.95983476,-0.89575107,-0.90920297,-0.085218205,-0.28982888,-0.58476913,-0.90829922,-0.92452915,0.14774589,-0.036803196,-0.40316771,-0.87272898,-0.84262096,-0.30452046,-0.22949064,-0.59879602,-0.9641106,-0.95694437,-0.25981126,0.29719243,0.020833993,-0.099957207,-0.017790216,-0.24128964,0.81946107,-0.64342979,0.30637553,0.15099485,21,"standing"
"3971",-0.9675821,-0.95896495,-0.97851973,-0.96260372,-0.95628415,-0.95040034,-0.98256798,-0.97733009,-0.96819564,-0.95924892,0.027528081,-0.077773181,-0.50398796,-0.96687251,-0.95567663,-0.0012269356,0.011387307,-0.45890969,-0.96233352,-0.9510147,-0.39251958,-0.33483624,-0.70510806,-0.98081346,-0.97428071,-0.38891275,-0.18476758,-0.62908992,-0.0077116696,0.064342076,0.46755408,0.44235267,-0.6460118,0.30736292,0.14591749,21,"standing"
"3972",-0.97512769,-0.95318417,-0.97823638,-0.9632593,-0.96938052,-0.94387142,-0.98493165,-0.97687891,-0.96554324,-0.95293779,-0.0306107,0.068121422,-0.32920738,-0.96806383,-0.95559771,-0.011381794,0.11371049,-0.33035289,-0.96157646,-0.94252092,-0.44175715,-0.060715554,-0.44907906,-0.98127082,-0.97294474,-0.49804667,0.071415946,-0.36422548,-0.013597304,-0.57073865,0.47038017,-0.42099949,-0.65076475,0.30234805,0.14801906,21,"standing"
"3973",-0.99161192,-0.99250543,-0.98944664,-0.99030046,-0.98704028,-0.99014403,-0.99407177,-0.99546476,-0.99084739,-0.99410582,0.6743086,-0.63383623,-0.8521044,-0.98952666,-0.99011,0.22088856,-0.53173246,-0.84795487,-0.99132592,-0.99076605,-0.031748916,-0.62877012,-0.90082592,-0.99520427,-0.99582261,0.35377981,-0.57436589,-0.8384047,-0.13114951,-0.62770553,-0.89709887,-0.78373666,-0.65279788,0.2996345,0.1497939,21,"standing"
"3974",-0.99225706,-0.99384092,-0.9922076,-0.99097285,-0.98855554,-0.98864076,-0.99652067,-0.99791898,-0.9921291,-0.99536231,0.58970043,-0.74388362,-0.91463872,-0.99093892,-0.98954719,0.19743316,-0.47442709,-0.81578057,-0.99313293,-0.98751334,-0.38157717,-0.1976924,-0.5976002,-0.99781237,-0.99784424,0.39461429,-0.57361712,-0.86729994,-0.030527024,0.24704557,-0.69162695,-0.24865675,-0.65453213,0.29812217,0.14998783,21,"standing"
"3975",-0.9947332,-0.99531061,-0.99329876,-0.99685677,-0.99279511,-0.99005139,-0.99734216,-0.99859369,-0.99451627,-0.99582731,0.36350809,-0.83417526,-0.96423793,-0.99573312,-0.99784006,0.54702538,-0.81981379,-0.94627272,-0.99274395,-0.98968396,-0.02811521,-0.19046152,-0.61214162,-0.99851055,-0.99847906,0.49224994,-0.71201805,-0.92433532,-0.056554134,0.23779854,-0.6635551,0.86397614,-0.65345757,0.29827675,0.15111519,21,"standing"
