45	46	154	2848
68	74	32	863
67.5	70.3	44	1531
44.9	48.1	124	355
69.6	76.8	22	8055
67.2	74	25	354
75.4	81.2	6	20046
73.7	80.1	6	29006
66.5	74.5	33	321
70.5	77.1	14	12545
71.1	75.3	18	9073
58.1	58.2	78	280
73.6	78.7	9	7173
64.4	74.8	15	994
73.9	80.6	7	26582
73.4	76.1	30	2569
52.4	57.2	84	391
51.6	54.9	104	166
59.8	63.2	66	909
70.5	75.9	13	271
48.9	51.7	56	3640
63.4	71.2	42	4510
73.4	78.1	9	16683
67.8	74.9	16	1518
45.1	47	97	165
45.5	48.8	114	205
52.6	55.4	102	130
54.5	57.2	58	627
76.1	81.8	6	18943
65.5	67.5	41	994
46.4	51	96	379
46.3	49.3	115	187
72.3	78.3	13	4736
68.2	71.7	38	582
68.2	73.7	24	2215
57	58	82	367
48.6	53.4	90	1008
67	73	26	5432
74.5	79.2	12	2696
68.1	76.5	10	4014
74.2	78	9	1983
75.4	79.8	7	11459
69.8	76	9	4450
51.3	54.5	89	117
73	78.3	7	33191
48.7	52	106	893
68.9	73.1	34	1508
67.3	72.5	46	1565
64.7	67.3	54	973
66.5	72.5	39	1660
48.4	51.6	107	388
49.1	52.1	98	96
63.9	75	12	2433
48.4	51.6	107	96
70.6	74.9	20	2593
73	80.1	5	24453
74.6	82.9	7	26444
69.8	75.3	10	19766
53.8	57.2	85	5007
45.4	48.7	122	321
68.5	76.7	23	343
73.4	79.9	6	29632
56.2	59.9	73	397
75.5	80.6	8	8684
		14	2485
72.1	78.8	8	9145
64.7	69.8	40	1392
46	47	124	442
42.4	45.2	132	131
61.1	67.9	58	726
52.8	56	82	386
67.5	72.3	35	697
76.1	81.8	5	22898
64.5	73.8	14	4325
77.4	81.2	5	26217
62.1	62.7	72	365
63.3	67	48	1019
68.5	70	39	1544
60.9	63.9	95	11308
74	79.4	6	17419
75.7	79.5	7	16738
75.1	81.4	7	19121
50	52.2	86	736
72.4	76.8	12	1779
76.9	82.9	4	41718
67.7	71.8	30	1228
62.8	72.5	34	995
52.3	55.7	65	330
58	63	65	654
68.9	75.1	22	271
68.8	76	9	9736
74.1	78.2	14	15757
63.4	71.9	39	331
52	55	86	359
62.5	74.3	16	1764
68.1	71.7	29	3114
57.3	59.9	72	486
50	53	153	1124
63.9	67.5	56	5498
64.9	76	13	1595
73.1	79.7	6	35109
70.3	74.7	23	1660
57	60	77	215
40.3	41.1	142	142
69.9	74.3	11	4313
65.7	63.3	49	1079
46.4	49.7	149	223
74.6	79.1	8	8793
59.1	63	26	1649
73.7	80.3	7	12717
51.9	55.1	92	401
68.3	75	15	3508
69.5	75.5	31	2700
64.4	68.8	20	2104
63.5	71.5	26	383
64.3	67.3	52	388
64.8	68.5	51	1265
45.5	48.4	110	77
58.5	61.8	78	2399
54.7	56.6	60	2059
57.6	57.1	82	203
75	80.6	6	25635
73.4	79.3	10	9039
70.9	75.9	18	19450
74.7	79.7	7	16866
65.8	70.6	44	464
46.9	50.2	114	207
50.8	54	77	587
74.8	80.6	5	33734
68.9	73.3	25	6232
62.9	65.1	74	504
65	69	25	6417
71.8	76.4	21	2934
57.2	58.7	61	1083
67.5	72	39	1860
65.9	70.9	45	2497
66.6	70.2	35	1093
66.7	75.7	13	3058
71.8	78.9	8	10428
72.5	80.5	9	12213
70	75.4	17	14013
70.9	79.8	7	11854
66	73.2	24	1570
58	71.5	19	2451
40.8	43.4	125	238
67.4	70.4	25	4819
68	74.8	18	3183
67.5	71.1	58	1106
73.2	79.1		19121
		51	49
69.9	73.4	23	6583
50.3	52.3	62	572
65.3	74.1	12	7272
36	39.1	169	293
75.1	79.5	5	25581
67	75.8	12	3266
69.2	77.8	7	9652
69.6	73.9	23	686
47.4	50.6	112	119
62.3	68.3	48	3230
74.5	81.5	7	14111
70.9	75.4	15	716
53.6	56.4	71	36
69	74	24	967
57.7	62.3	65	1389
76.2	80.8	5	26253
75.3	81.8	5	42416
66.7	71.2	33	3573
64.2	70.2	56	122
50	52.8	80	139
66.3	72.3	30	2896
48.8	51.5	86	322
67	71	3	1787
71.5	76.2	14	4083
68.4	70.7	37	2030
66.5	71.7	44	2814
61.2	68	57	321
40.4	42.3	113	305
63.6	74	18	694
73.9	76.5	15	17690
74.5	79.8	6	18913
73.4	80.1	7	26037
69.6	76.1	17	5602
64.3	70.7	43	435
65.5	69.5	38	1289
70	75.7	21	3496
64.9	69.6	37	270
57.4	58.4	80	732
69.8	75.3	19	1487
42.2	43.7	103	382
47.6	49.4	68	786
